EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_WAFER_612,*,011001000000000000,40
EQ_WAFER_612,*,010101000000000000,40
EQ_WAFER_612,*,010011000000000000,40
EQ_WAFER_612,*,001101000000000000,40
EQ_WAFER_612,*,001011000000000000,40
EQ_WAFER_612,*,000111000000000000,40
EQ_WAFER_612,*,100001000000000000,20
EQ_WAFER_612,*,010001000000000000,20
EQ_WAFER_612,*,001001000000000000,20
EQ_WAFER_612,*,000101000000000000,20
EQ_WAFER_612,*,000011000000000000,20
EQ_WAFER_611,*,111111000000000000,100
EQ_WAFER_611,*,111101000000000000,80
EQ_WAFER_611,*,111011000000000000,80
EQ_WAFER_611,*,110111000000000000,80
EQ_WAFER_611,*,101111000000000000,80
EQ_WAFER_611,*,011111000000000000,80
EQ_WAFER_611,*,111001000000000000,60
EQ_WAFER_611,*,110101000000000000,60
EQ_WAFER_611,*,110011000000000000,60
EQ_WAFER_611,*,101101000000000000,60
EQ_WAFER_611,*,101011000000000000,60
EQ_WAFER_611,*,100111000000000000,60
EQ_WAFER_611,*,011101000000000000,60
EQ_WAFER_611,*,011011000000000000,60
EQ_WAFER_611,*,010111000000000000,60
EQ_WAFER_611,*,001111000000000000,60
EQ_WAFER_611,*,110001000000000000,40
EQ_WAFER_611,*,101001000000000000,40
EQ_WAFER_611,*,100101000000000000,40
EQ_WAFER_611,*,100011000000000000,40
EQ_WAFER_611,*,011001000000000000,40
EQ_WAFER_611,*,010101000000000000,40
EQ_WAFER_611,*,010011000000000000,40
EQ_WAFER_611,*,001101000000000000,40
EQ_WAFER_611,*,001011000000000000,40
EQ_WAFER_611,*,000111000000000000,40
EQ_WAFER_611,*,100001000000000000,20
EQ_WAFER_611,*,010001000000000000,20
EQ_WAFER_611,*,001001000000000000,20
